Brand=["Mekhala"],Reporting Range=["Monthly"],Select year=["2023"],Select month=["September"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"tumeric lemongrass","297","4","65","5","7.69","3","75.0","3","100.0","7.29","7.29","0","0","0","3","75.0","3","100.0","7.29","7.29","0","0","0","1","25.0","1","100.0","6.99","6.99","0","0","0","2023-09-30"
"curry sauce organic","886","87","1916","97","5.06","40","45.98","3","7.5","6.29","7.99","0","2","2","16","18.39","1","6.25","6.69","7.39","0","0","0","12","13.79","0","0.0","6.99",,"0","0","0","2023-09-30"
"ramen noodles","268","219324","4927945","511","0.01","76243","34.76","3","0.0","11.98","6.99","6522","23515","18957","30387","13.85","2","0.01","7.36","6.49","3153","9109","6232","12198","5.56","1","0.01","7.36","6.49","1584","4001","2319","2023-09-30"
"yellow curry paste mekhala","383","2","79","10","12.66","2","100.0","2","100.0","7.39","7.39","0","0","2","2","100.0","2","100.0","7.39","7.39","0","0","2","1","50.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"mekhala organic red curry paste","344","6","238","22","9.24","5","83.33","4","80.0","15.99","7.99","0","2","2","2","33.33","2","100.0","7.99","7.99","0","1","1","1","16.67","1","100.0","35.85","35.85","0","1","0","2023-09-30"
"sriracha","878","175085","4116939","399","0.01","72987","41.69","2","0.0","14.99","6.49","1157","10969","12454","28665","16.37","0","0.0","14.91",,"488","4412","4838","13836","7.9","0","0.0","14.99",,"262","2346","2431","2023-09-30"
"tum yum paste","376","91","2035","183","8.99","51","56.04","5","9.8","7.99","7.99","5","8","19","19","20.88","1","5.26","7.99","7.99","4","2","8","12","13.19","1","8.33","7.99","7.99","3","2","4","2023-09-30"
"doubanjiang organic","544","9","367","21","5.72","3","33.33","1","33.33","7.99","7.99","0","3","0","1","11.11","1","100.0","7.99","7.99","0","1","0","1","11.11","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"organic tom yum paste","114","38","1164","160","13.75","23","60.53","19","82.61","7.89","7.89","1","16","4","12","31.58","11","91.67","6.85","7.89","0","10","2","1","2.63","1","100.0","19.06","19.06","0","1","0","2023-09-30"
"red currry paste","677","1","33","1","3.03","1","100.0","1","100.0","7.39","7.39","0","0","0","1","100.0","1","100.0","7.39","7.39","0","0","0","1","100.0","1","100.0","7.39","7.39","0","0","0","2023-09-30"
"laksa","125","1432","39169","1011","2.58","729","50.91","10","1.37","21.06","7.89","13","240","294","266","18.58","5","1.88","21.99","7.89","5","94","101","112","7.82","2","1.79","22.49","7.89","2","48","44","2023-09-30"
"ginger scallion accent sauce","693","2","32","1","3.13","1","50.0","1","100.0","7.99","7.99","0","1","0","1","50.0","1","100.0","7.99","7.99","0","1","0","1","50.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"green curry powder","327","347","8759","142","1.62","176","50.72","2","1.14","9.99","6.49","6","49","71","72","20.75","2","2.78","9.99","6.49","3","21","26","28","8.07","1","3.57","9.99","7.39","3","7","10","2023-09-30"
"mekhala tom yum","196","19","337","76","22.55","12","63.16","10","83.33","6.49","6.49","3","2","4","6","31.58","5","83.33","6.49","6.49","1","0","3","1","5.26","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"organic carrots","134","20981","458671","1804","0.39","14805","70.56","5","0.03","2.49","6.49","9","8","8","13384","63.79","2","0.01","2.39","6.49","1","3","3","6987","33.3","2","0.03","2.29","6.49","0","0","1","2023-09-30"
"chinese broccoli","231","908","18491","105","0.57","285","31.39","3","1.05","3.99","7.29","1","31","15","190","20.93","2","1.05","3.99","6.99","1","7","2","78","8.59","2","2.56","3.59","6.99","1","3","1","2023-09-30"
"tomato sauce","773","87675","1994134","683","0.03","41538","47.38","0","0.0","1.99",,"1357","3520","2084","34460","39.3","0","0.0","1.99",,"1075","2437","1265","16930","19.31","0","0.0","1.99",,"463","1106","557","2023-09-30"
"vindaloo organic","667","2","42","2","4.76","2","100.0","1","50.0","5.39","7.89","0","0","0","2","100.0","1","50.0","5.39","7.89","0","0","0","2","100.0","1","50.0","5.39","7.89","0","0","0","2023-09-30"
"cabbage fresh","842","8347","175026","249","0.14","4522","54.18","1","0.02","3.29","6.49","3","13","11","3909","46.83","1","0.03","3.29","6.49","2","7","4","1679","20.12","0","0.0","3.39",,"0","0","0","2023-09-30"
"preserved lemon paste","813","339","9854","266","2.7","184","54.28","2","1.09","14.96","7.39","2","63","55","90","26.55","1","1.11","14.97","7.39","2","37","21","41","12.09","0","0.0","14.98",,"1","18","11","2023-09-30"
"red thai curry","314","200","4852","156","3.22","77","38.5","8","10.39","6.49","6.49","8","26","15","47","23.5","4","8.51","4.79","6.49","5","18","7","15","7.5","0","0.0","3.98",,"2","6","3","2023-09-30"
"pataks curry paste","973","895","23121","263","1.14","446","49.83","3","0.67","9.34","7.89","4","116","177","218","24.36","0","0.0","9.33",,"2","56","84","108","12.07","0","0.0","9.33",,"1","34","40","2023-09-30"
"galangal","52","3596","95309","1155","1.21","1600","44.49","43","2.69","9.97","6.49","54","512","426","759","21.11","14","1.84","9.95","6.49","29","269","189","289","8.04","6","2.08","9.15","6.49","13","112","68","2023-09-30"
"kaffir lime leaves","100","5826","146526","1206","0.82","2937","50.41","14","0.48","7.99","6.49","38","720","899","1771","30.4","10","0.56","7.67","6.49","23","471","544","839","14.4","2","0.24","7.67","6.49","13","259","259","2023-09-30"
"thai curry paste yellow","205","74","2121","122","5.75","36","48.65","7","19.44","7.99","6.49","1","15","11","19","25.68","5","26.32","7.99","7.39","0","8","6","8","10.81","1","12.5","7.99","7.99","0","4","3","2023-09-30"
"green onions fresh","965","3479","74545","88","0.12","1878","53.98","1","0.05","1.19","6.49","4","12","8","1624","46.68","1","0.06","1.19","6.49","0","4","2","821","23.6","0","0.0","1.19",,"0","1","0","2023-09-30"
"lemongrass turmeric","381","9","151","12","7.95","3","33.33","2","66.67","7.29","7.29","0","0","0","2","22.22","2","100.0","7.29","7.29","0","0","0","1","11.11","1","100.0","7.29","7.29","0","0","0","2023-09-30"
"mekhala organic lemongrass turmeric","583","1","20","7","35.0","1","100.0","1","100.0","7.99","7.99","0","0","0","1","100.0","1","100.0","7.99","7.99","0","0","0","1","100.0","1","100.0","7.99","7.99","0","0","0","2023-09-30"
"tamarind paste","61","14644","379204","1445","0.38","7378","50.38","36","0.49","8.79","6.49","259","2925","2545","4145","28.31","14","0.34","7.98","6.49","146","1674","1388","2007","13.71","4","0.2","7.99","6.49","80","905","655","2023-09-30"
"gochujang paste","397","11736","286040","885","0.31","6026","51.35","3","0.05","9.39","6.49","342","2169","1842","3531","30.09","1","0.03","9.24","6.49","207","1365","1052","1450","12.36","0","0.0","9.24",,"101","609","420","2023-09-30"
"organic lemongrass paste","133","18","444","50","11.26","10","55.56","7","70.0","7.98","7.39","1","2","2","7","38.89","6","85.71","7.39","7.39","0","1","1","4","22.22","3","75.0","7.39","7.39","0","0","1","2023-09-30"
"mekhala organic green curry paste","104","18","530","95","17.92","12","66.67","12","100.0","7.81","7.81","0","9","1","7","38.89","7","100.0","7.81","7.81","0","5","1","4","22.22","4","100.0","7.99","7.99","0","3","0","2023-09-30"
"mekhala thai yellow curry","578","2","38","8","21.05","1","50.0","1","100.0","7.99","7.99","0","1","0","1","50.0","1","100.0","7.99","7.99","0","1","0","1","50.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"fresh herbs","214","6870","142010","307","0.22","3042","44.28","2","0.07","2.69","6.49","9","75","75","2414","35.14","2","0.08","2.49","6.49","3","27","36","947","13.78","2","0.21","2.69","6.49","0","3","2","2023-09-30"
"curry paste japanese","859","194","5421","172","3.17","87","44.85","2","2.3","5.53","7.99","10","34","30","28","14.43","1","3.57","2.92","7.99","4","16","7","8","4.12","0","0.0","2.92",,"0","6","2","2023-09-30"
"organic pasta sauce","969","4382","98744","340","0.34","2230","50.89","1","0.04","3.99","7.99","49","175","137","1535","35.03","0","0.0","3.49",,"31","94","73","715","16.32","0","0.0","3.36",,"10","30","26","2023-09-30"
"stir fry sauces","767","1221","25141","335","1.33","587","48.08","3","0.51","4.69","6.49","1","13","12","339","27.76","1","0.29","4.29","6.49","1","5","4","184","15.07","0","0.0","4.29",,"0","3","2","2023-09-30"
"indian","191","85455","1550002","1167","0.08","3360","3.93","2","0.06","5.99","6.49","16","78","113","1591","1.86","2","0.13","5.29","6.49","5","15","18","542","0.63","1","0.18","5.29","6.49","1","6","5","2023-09-30"
"tikka masala spice","983","122","3319","74","2.23","45","36.89","1","2.22","8.99","7.99","2","12","21","19","15.57","1","5.26","8.99","7.99","2","2","10","8","6.56","0","0.0","8.99",,"0","2","3","2023-09-30"
"yams","331","6618","143652","421","0.29","2557","38.64","1","0.04","3.79","6.49","30","110","110","2001","30.24","1","0.05","3.59","6.49","24","73","44","773","11.68","1","0.13","3.54","6.49","10","27","11","2023-09-30"
"havens kitchen gingery miso sauce","794","62","1408","49","3.48","18","29.03","2","11.11","7.89","7.89","0","5","1","11","17.74","2","18.18","7.99","7.89","0","3","1","2","3.23","0","0.0","3.81",,"0","2","0","2023-09-30"
"organic ramen","464","3239","78420","86","0.11","1500","46.31","1","0.07","14.99","6.49","47","362","404","574","17.72","1","0.17","9.49","6.49","12","101","114","211","6.51","1","0.47","5.79","6.49","4","27","31","2023-09-30"
"thai yellow curry paste amazon fresh.","649","1","60","3","5.0","1","100.0","1","100.0","7.39","7.39","0","0","0","1","100.0","1","100.0","7.39","7.39","0","0","0","1","100.0","1","100.0","7.39","7.39","0","0","0","2023-09-30"
"ted thai curry paste","616","4","90","4","4.44","3","75.0","1","33.33","3.98","6.49","0","1","0","3","75.0","1","33.33","3.98","6.49","0","1","0","2","50.0","1","50.0","3.98","6.49","0","1","0","2023-09-30"
"curry sauce","75","7380","182871","1794","0.98","2927","39.66","22","0.75","7.99","6.49","142","593","574","1163","15.76","9","0.77","6.29","6.49","55","177","178","448","6.07","4","0.89","6.99","6.49","18","65","72","2023-09-30"
"mala xiang guo sauce","343","82","1886","60","3.18","26","31.71","3","11.54","20.0","7.99","0","1","4","6","7.32","2","33.33","12.0","7.99","0","1","2","3","3.66","1","33.33","12.0","7.99","0","1","1","2023-09-30"
"thai red curry paste thai kitchen","67","51","1159","46","3.97","33","64.71","22","66.67","6.49","6.49","0","0","0","27","52.94","18","66.67","6.49","6.49","0","0","0","10","19.61","4","40.0","5.79","6.49","0","0","0","2023-09-30"
"chicken bouillon","273","23349","522723","466","0.09","9908","42.43","3","0.03","7.99","7.29","397","1495","1808","6036","25.85","2","0.03","6.97","7.29","183","694","877","2381","10.2","1","0.04","7.5","7.29","91","293","344","2023-09-30"
"organic tomato sauce","734","4407","101383","276","0.27","2370","53.78","2","0.08","2.99","6.49","45","166","135","1699","38.55","2","0.12","2.69","6.49","16","81","58","802","18.2","0","0.0","2.69",,"5","31","25","2023-09-30"
"better than bouillon chicken","385","13523","335558","893","0.27","7045","52.1","4","0.06","9.49","6.49","171","805","1050","4289","31.72","1","0.02","8.49","7.39","98","384","460","1953","14.44","0","0.0","8.69",,"49","179","214","2023-09-30"
"sundried tomatoes in jar","959","1790","38300","388","1.01","1107","61.84","0","0.0","6.99",,"4","9","12","964","53.85","0","0.0","6.99",,"4","7","9","493","27.54","0","0.0","6.99",,"1","2","3","2023-09-30"
"mekhala","22","403","9843","1791","18.2","164","40.69","114","69.51","7.29","7.89","3","35","33","66","16.38","49","74.24","7.39","7.89","2","17","15","23","5.71","19","82.61","7.99","7.99","1","7","8","2023-09-30"
"thai red cutty","689","1","18","1","5.56","1","100.0","1","100.0","7.29","7.29","0","0","0","1","100.0","1","100.0","7.29","7.29","0","0","0","1","100.0","1","100.0","7.29","7.29","0","0","0","2023-09-30"
"whole foods market organic soup","664","6","150","2","1.33","2","33.33","1","50.0","5.49","7.39","0","0","0","1","16.67","1","100.0","7.39","7.39","0","0","0","1","16.67","1","100.0","7.39","7.39","0","0","0","2023-09-30"
"turmeric root fresh","99","10956","226204","3110","1.37","4980","45.45","10","0.2","8.49","6.49","11","60","84","3474","31.71","6","0.17","5.99","6.49","5","16","28","1370","12.5","1","0.07","7.5","6.49","3","7","9","2023-09-30"
"huy fong sambal oelek chili paste","256","1367","35115","918","2.61","414","30.29","3","0.72","39.59","18.9","6","55","61","69","5.05","1","1.45","26.99","7.89","3","14","18","27","1.98","1","3.7","45.0","7.89","2","5","10","2023-09-30"
"pesto sauce","856","15563","348647","213","0.06","7867","50.55","1","0.01","4.49","6.49","222","832","580","5246","33.71","1","0.02","4.19","6.49","146","448","303","2559","16.44","0","0.0","4.39",,"68","169","123","2023-09-30"
"lemon grass gluten free tumeric","611","1","60","4","6.67","1","100.0","1","100.0","7.99","7.99","0","0","1","1","100.0","1","100.0","7.99","7.99","0","0","1","1","100.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"chili paste thai","366","96","2362","60","2.54","24","25.0","2","8.33","6.49","6.49","1","2","10","11","11.46","2","18.18","6.29","6.49","0","2","4","5","5.21","1","20.0","4.08","6.49","0","1","1","2023-09-30"
"rendang sauce","150","46","1305","157","12.03","27","58.7","12","44.44","7.89","7.89","0","8","12","16","34.78","8","50.0","7.89","7.89","0","5","7","2","4.35","1","50.0","7.89","7.89","0","0","2","2023-09-30"
"coconut curry simmer sauce","470","160","4287","72","1.68","73","45.63","1","1.37","8.99","6.99","2","11","19","28","17.5","1","3.57","7.49","6.99","1","3","4","7","4.38","1","14.29","6.65","6.99","0","0","1","2023-09-30"
"chinese cooking sauces","900","240","6514","118","1.81","78","32.5","2","2.56","14.99","7.99","1","31","31","26","10.83","1","3.85","8.39","7.99","1","11","12","7","2.92","0","0.0","7.6",,"1","2","2","2023-09-30"
"mekhalla","556","1","60","15","25.0","1","100.0","1","100.0","7.99","7.99","1","0","0","1","100.0","1","100.0","7.99","7.99","1","0","0","1","100.0","1","100.0","7.99","7.99","1","0","0","2023-09-30"
"thai soup","978","1051","24894","41","0.16","332","31.59","2","0.6","8.49","6.49","19","65","80","162","15.41","1","0.62","4.95","6.49","7","32","43","51","4.85","0","0.0","4.49",,"3","13","11","2023-09-30"
"beef rendang paste","888","94","2064","132","6.4","36","38.3","2","5.56","7.99","7.89","1","13","14","16","17.02","1","6.25","7.97","7.89","1","6","5","7","7.45","0","0.0","8.1",,"1","0","4","2023-09-30"
"organic curry paste red","662","3","71","2","2.82","1","33.33","1","100.0","6.49","6.49","0","0","0","1","33.33","1","100.0","6.49","6.49","0","0","0","1","33.33","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"lemongrass kaffir lime paste","631","2","50","3","6.0","1","50.0","1","100.0","7.99","7.99","0","1","0","1","50.0","1","100.0","7.99","7.99","0","1","0","1","50.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"mekhala lemongrass turmeric paste","92","21","543","156","28.73","22","104.76","19","86.36","7.99","7.99","0","15","7","12","57.14","10","83.33","7.99","7.99","0","6","6","4","19.05","4","100.0","7.99","7.99","0","2","2","2023-09-30"
"tom yum lemongrass paste","571","3","60","9","15.0","3","100.0","1","33.33","9.98","7.99","0","3","0","1","33.33","1","100.0","7.99","7.99","0","1","0","1","33.33","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"gluten free curry","754","170","4524","319","7.05","64","37.65","5","7.81","11.9","7.29","0","18","16","22","12.94","1","4.55","11.9","7.29","0","5","6","8","4.71","0","0.0","11.9",,"0","1","4","2023-09-30"
"mekhala curry tikka","620","1","19","4","21.05","2","200.0","1","50.0","7.99","7.99","0","1","1","2","200.0","1","50.0","7.99","7.99","0","1","1","1","100.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"radish organic fresh","777","1099","21735","640","2.94","715","65.06","1","0.14","2.49","6.49","0","0","0","679","61.78","0","0.0","2.49",,"0","0","0","390","35.49","0","0.0","2.49",,"0","0","0","2023-09-30"
"vindaloo sauce","160","643","15289","359","2.35","307","47.74","9","2.93","8.99","7.89","1","53","75","113","17.57","4","3.54","7.89","7.89","1","18","18","41","6.38","2","4.88","7.99","7.89","1","7","6","2023-09-30"
"lime leaves","341","1418","35135","357","1.02","675","47.6","2","0.3","6.99","6.49","17","141","159","388","27.36","1","0.26","5.95","6.49","4","85","98","179","12.62","1","0.56","5.99","6.49","3","59","47","2023-09-30"
"green curry.","519","3","75","3","4.0","2","66.67","2","100.0","7.99","7.99","0","2","0","1","33.33","1","100.0","7.99","7.99","0","1","0","1","33.33","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"adobo","810","9946","222293","600","0.27","3855","38.76","0","0.0","5.49",,"63","522","466","2521","25.35","0","0.0","3.15",,"24","277","214","842","8.47","0","0.0","3.29",,"8","105","70","2023-09-30"
"tellow curry paste","684","1","18","1","5.56","1","100.0","1","100.0","7.29","7.29","0","0","0","1","100.0","1","100.0","7.29","7.29","0","0","0","1","100.0","1","100.0","7.29","7.29","0","0","0","2023-09-30"
"kashmiri masala paste","538","35","673","28","4.16","9","25.71","1","11.11","9.99","7.99","0","1","6","4","11.43","1","25.0","8.87","7.99","0","1","2","3","8.57","1","33.33","9.99","7.99","0","1","1","2023-09-30"
"singapore rendang","671","1","25","2","8.0","2","200.0","1","50.0","5.28","7.89","0","2","0","2","200.0","1","50.0","5.28","7.89","0","2","0","2","200.0","1","50.0","5.28","7.89","0","2","0","2023-09-30"
"broccoli rabe","801","5731","110679","612","0.55","2897","50.55","0","0.0","3.99",,"1","9","26","2523","44.02","0","0.0","3.99",,"0","4","9","1350","23.56","0","0.0","3.99",,"0","1","4","2023-09-30"
"chutney gluten free","703","2","29","1","3.45","1","50.0","1","100.0","6.49","6.49","0","0","0","1","50.0","1","100.0","6.49","6.49","0","0","0","1","50.0","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"shaggie thai tom yam paste","656","1","20","2","10.0","3","300.0","1","33.33","9.59","7.99","0","0","0","1","100.0","1","100.0","7.99","7.99","0","0","0","1","100.0","1","100.0","7.99","7.99","0","0","0","2023-09-30"
"vindaloo paste","49","385","11199","663","5.92","221","57.4","30","13.57","9.0","7.89","4","47","75","74","19.22","12","16.22","9.0","7.89","0","17","29","37","9.61","9","24.32","8.99","7.89","0","13","15","2023-09-30"
"thai kitchen curry paste","118","223","6509","308","4.73","129","57.85","8","6.2","4.19","6.49","8","52","31","81","36.32","6","7.41","3.98","6.49","6","31","18","33","14.8","3","9.09","3.98","6.49","3","16","3","2023-09-30"
"pickled onions","877","7285","173748","181","0.1","2669","36.64","1","0.04","11.5","6.49","35","388","523","1291","17.72","1","0.08","9.99","6.49","22","167","221","445","6.11","0","0.0","11.5",,"8","86","91","2023-09-30"
"asian noodles rice wide","710","2","38","1","2.63","1","50.0","1","100.0","6.39","6.39","0","0","0","1","50.0","1","100.0","6.39","6.39","0","0","0","1","50.0","1","100.0","6.39","6.39","0","0","0","2023-09-30"
"green chili","879","3180","69461","435","0.63","1125","35.38","1","0.09","2.39","6.49","15","78","73","884","27.8","0","0.0","2.29",,"8","31","26","423","13.3","0","0.0","2.19",,"3","16","14","2023-09-30"
"schezwan sauce","805","1021","24849","311","1.25","400","39.18","1","0.25","7.99","7.99","6","55","98","178","17.43","1","0.56","7.99","7.99","1","27","47","64","6.27","0","0.0","7.99",,"1","9","20","2023-09-30"
"pumpkin spice","931","323984","6965791","410","0.01","102769","31.72","0","0.0","7.99",,"4963","21995","19249","58810","18.15","0","0.0","6.49",,"3057","12054","10381","16690","5.15","0","0.0","5.69",,"1188","3877","2687","2023-09-30"
"mekhala red curry paste","46","68","1587","326","20.54","42","61.76","35","83.33","7.99","7.99","2","15","8","19","27.94","18","94.74","7.99","7.99","0","8","4","8","11.76","8","100.0","17.9","17.9","0","3","2","2023-09-30"
"indian sauces","320","1344","30353","689","2.27","520","38.69","7","1.35","6.69","7.29","9","41","30","303","22.54","2","0.66","6.29","7.29","1","10","9","133","9.9","0","0.0","6.65",,"1","7","2","2023-09-30"
"indian curry","746","1202","31608","569","1.8","464","38.6","6","1.29","12.63","7.99","16","123","118","188","15.64","0","0.0","7.99",,"8","39","34","59","4.91","0","0.0","6.99",,"2","11","12","2023-09-30"
"asian cooking sauces","976","158","4265","80","1.88","58","36.71","1","1.72","14.99","7.99","0","32","10","24","15.19","1","4.17","9.99","7.99","0","16","4","2","1.27","0","0.0","2.82",,"0","1","1","2023-09-30"
"rendang curry powder","480","57","1400","62","4.43","29","50.88","1","3.45","8.53","7.89","0","8","11","5","8.77","1","20.0","7.89","7.89","0","1","2","2","3.51","1","50.0","6.18","7.89","0","1","1","2023-09-30"
"tofu organic","285","1484","31667","320","1.01","822","55.39","4","0.49","3.29","6.49","1","3","7","570","38.41","2","0.35","3.19","6.49","0","1","1","273","18.4","1","0.37","3.14","6.49","0","0","1","2023-09-30"
"organic sweet potatoes","553","9089","194578","645","0.33","5217","57.4","3","0.06","5.49","6.49","1","20","18","4367","48.05","1","0.02","5.49","6.99","0","4","5","2355","25.91","0","0.0","4.78",,"0","2","2","2023-09-30"
"annatto","872","1694","46259","111","0.24","641","37.84","3","0.47","8.99","6.99","29","210","233","278","16.41","1","0.36","5.99","6.49","13","89","102","114","6.73","0","0.0","5.99",,"7","40","41","2023-09-30"
"lemon grass paste","35","608","18061","1050","5.81","276","45.39","49","17.75","14.95","7.98","4","110","87","158","25.99","34","21.52","14.95","7.29","2","60","42","57","9.38","10","17.54","14.95","7.39","0","26","14","2023-09-30"
"organic thai sauce","806","25","578","18","3.11","15","60.0","2","13.33","6.49","6.49","1","2","0","9","36.0","2","22.22","6.69","6.49","1","0","0","3","12.0","0","0.0","7.99",,"0","0","0","2023-09-30"
"organic tum yum paste","622","1","19","4","21.05","1","100.0","1","100.0","19.59","19.59","0","0","1","1","100.0","1","100.0","19.59","19.59","0","0","1","1","100.0","1","100.0","19.59","19.59","0","0","1","2023-09-30"
"thai curry powder","839","714","17943","189","1.05","326","45.66","3","0.92","11.99","7.99","10","107","106","102","14.29","1","0.98","11.74","7.99","3","25","33","30","4.2","0","0.0","10.99",,"2","8","8","2023-09-30"
"ginger scallion oil","119","125","3202","104","3.25","40","32.0","29","72.5","7.99","7.99","1","22","13","8","6.4","6","75.0","7.99","7.99","0","2","5","2","1.6","2","100.0","7.99","7.99","0","0","2","2023-09-30"
"lemongrass frozen","233","52","1111","34","3.06","15","28.85","4","26.67","6.49","6.49","0","4","1","6","11.54","2","33.33","6.49","6.49","0","2","0","3","5.77","2","66.67","7.98","6.49","0","2","0","2023-09-30"
"beets organic fresh","723","5370","111000","893","0.8","3162","58.88","1","0.03","3.69","6.49","3","8","5","2717","50.6","0","0.0","3.49",,"0","2","2","1491","27.77","0","0.0","3.49",,"0","0","1","2023-09-30"
"cilantro","818","110677","2297426","301","0.01","72375","65.39","1","0.0","1.89","6.49","142","912","822","67878","61.33","1","0.0","1.89","6.49","108","552","434","35361","31.95","0","0.0","1.89",,"45","240","182","2023-09-30"
"parsley in tube","705","6","145","1","0.69","2","33.33","1","50.0","7.99","7.99","0","2","0","1","16.67","1","100.0","7.99","7.99","0","1","0","1","16.67","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"red curry paste hot","657","2","38","2","5.26","1","50.0","1","100.0","6.49","6.49","0","1","0","1","50.0","1","100.0","6.49","6.49","0","1","0","1","50.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"yellow thai curry","858","88","2247","100","4.45","40","45.45","4","10.0","8.08","6.49","1","17","5","19","21.59","1","5.26","7.99","6.49","0","7","4","7","7.95","0","0.0","7.99",,"0","4","2","2023-09-30"
"coconut milk canned","910","7674","182898","65","0.04","4472","58.27","3","0.07","3.49","6.49","135","650","527","2903","37.83","1","0.03","2.99","6.49","69","316","226","1393","18.15","0","0.0","2.98",,"34","155","93","2023-09-30"
"vegan pate","927","320","7861","120","1.53","139","43.44","1","0.72","14.99","6.49","9","28","40","39","12.19","1","2.56","11.38","6.49","8","3","11","9","2.81","0","0.0","11.38",,"1","1","3","2023-09-30"
"green curry sauce","73","338","8058","221","2.74","121","35.8","17","14.05","7.99","7.99","3","25","24","63","18.64","11","17.46","7.39","7.89","3","11","7","25","7.4","6","24.0","7.99","7.39","0","4","3","2023-09-30"
"maesri red curry paste","348","1317","36697","501","1.37","872","66.21","3","0.34","10.93","7.39","21","325","312","514","39.03","3","0.58","10.93","7.39","13","211","194","241","18.3","0","0.0","10.93",,"3","101","93","2023-09-30"
"ginger miso broth","725","43","896","28","3.13","16","37.21","3","18.75","7.99","7.99","1","3","3","12","27.91","3","25.0","7.99","7.99","1","1","2","5","11.63","0","0.0","7.49",,"0","0","0","2023-09-30"
"stir fry","966","12107","258219","86","0.03","4964","41.0","1","0.02","4.69","7.29","7","72","66","3161","26.11","1","0.03","4.46","7.29","4","25","20","1303","10.76","0","0.0","4.49",,"2","4","9","2023-09-30"
"vegan asian condiments","579","10","510","8","1.57","9","90.0","1","11.11","9.99","7.99","3","0","4","4","40.0","1","25.0","7.99","7.99","3","0","1","4","40.0","1","25.0","7.99","7.99","3","0","1","2023-09-30"
"zucchini noodles","277","8177","185334","419","0.23","3837","46.92","3","0.08","4.99","6.49","52","299","313","2105","25.74","2","0.1","4.79","6.49","11","70","55","995","12.17","1","0.1","4.79","6.49","4","17","14","2023-09-30"
"ginger jar","555","14357","311778","15","0.0","4319","30.08","1","0.02","39.99","6.49","53","844","1266","719","5.01","1","0.14","39.89","6.49","16","154","201","60","0.42","1","1.67","32.4","6.49","0","11","16","2023-09-30"
"organic gochujang paste","107","126","3023","158","5.23","63","50.0","9","14.29","9.79","7.99","1","26","13","17","13.49","6","35.29","7.99","7.99","0","8","4","7","5.56","4","57.14","7.99","7.99","0","6","1","2023-09-30"
"japanese curry","117","14312","365631","2138","0.58","6132","42.85","6","0.1","5.99","6.49","685","2245","1868","2656","18.56","2","0.08","4.19","6.99","375","1003","665","1164","8.13","2","0.17","4.19","6.99","183","466","269","2023-09-30"
"chilies freshred","672","2","36","2","5.56","1","50.0","1","100.0","6.49","6.49","0","0","0","1","50.0","1","100.0","6.49","6.49","0","0","0","1","50.0","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"organic tamarind","513","349","8911","42","0.47","173","49.57","1","0.58","12.99","7.39","9","58","64","54","15.47","1","1.85","14.16","7.39","2","23","21","13","3.72","1","7.69","14.16","7.39","1","6","5","2023-09-30"
"wild shrimp","868","1777","37459","194","0.52","818","46.03","1","0.12","11.99","6.49","0","0","1","449","25.27","1","0.22","10.99","6.49","0","0","1","191","10.75","0","0.0","15.99",,"0","0","0","2023-09-30"
"yellow curry past","539","9","513","27","5.26","4","44.44","1","25.0","7.99","7.99","0","2","1","1","11.11","1","100.0","7.99","7.99","0","0","1","1","11.11","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"garlic powder organic","420","4505","106557","166","0.16","2843","63.11","1","0.04","6.25","6.49","137","757","369","2246","49.86","1","0.04","5.99","6.49","108","525","219","1128","25.04","1","0.09","5.99","6.49","64","264","97","2023-09-30"
